Object ID,Line Phrase,Word Count,Platonic Object,Word Form,Gender,Process End Year,Platonic Room,Room Phrase,Provenance
8277,Item aliud mantellum de scarllata cum tassellis et stacados? argenti foderatum de sindone viridi et freatum de argento,18,cloak,mantellum,,1348,,,Marseille
8278,Item unum mantellum listatum pauci valoris,6,cloak,mantellum,,1348,,,Marseille
8279,Item aliud mantellum faysatum de lividi et bruneta pro servitricibus,10,cloak,mantellum,,1348,,,Marseille
8284,Item unum capellum,3,cap,capellus,,1348,,,Marseille
8375,Item unum capellum blavum,4,cap,capellus,,1348,,,Marseille
8376,Item unum mantellum de vario,5,cloak,mantellum,,1348,,,Marseille
8389,Item duo mantelli de violeto foderati de caffarino et penna varia,11,cloak,mantellum,,1348,,,Marseille
8419,Item 4^or^ capelli solis,4,cap,capellus,,1348,Dining hall,In aula dicti domus ,Marseille
8449,Item una tunica alba,4,tunic,tunica,,1348,Dining hall,In aula dicti domus ,Marseille
8505,Item cotardia mantulum et capucium de mesclato cum penna in cotardia,11,cotte-hardie,cotardia,,1348,bedroom,in quadam alia camera ,Marseille
8523,Item unum mantellum scurum cum penna varia veteri,8,cloak,mantellum,,1348,Bedroom,in quadam magna camera picta,Marseille
8524,Item unum mantellum rubeum cum penna de ventres veteri,9,cloak,mantellum,,1348,Bedroom,in quadam magna camera picta,Marseille
8528,Item unum mantulum de blava,5,cloak,mantellum,,1348,Bedroom,in quadam magna camera picta,Marseille
8529,Item una cotardia et capucium de brunello,7,cotte-hardie,cotardia,,1348,Bedroom,in quadam magna camera picta,Marseille
8530,Item una cotardia de blavo cum penna debili,8,cotte-hardie,cotardia,,1348,Bedroom,in quadam magna camera picta,Marseille
8531,Item cotardia mantulum et capucium de blavo cum penna in cotardia,11,cotte-hardie,cotardia,,1348,Bedroom,in quadam magna camera picta,Marseille
8544,Item unum cossetum mulieris de mesclato cum –sex– condulis octo perlarum et cum penna agnorum,15,jacket,corsitium,female,1348,Bedroom,in quadam magna camera picta,Marseille
8545,Item unum mantellum rubeum cum tassellis et cordono argenti et cum penna varia,13,cloak,mantellum,,1348,Bedroom,in quadam magna camera picta,Marseille
8547,Item una parva zona munita argento,6,belt,zona,,1348,Bedroom,in quadam magna camera picta,Marseille
8550,Item 3 albis sive vincenis solidos 60,7,alb,alba,,1348,Bedroom,in quadam magna camera picta,Marseille
8637,Item 3 quassas ^capssias^ albas,5,alb,alba,,1348,,,Marseille
8691,Item rauba completa de scarlata cum fremalhis de perllis,9,robe,rauba,,1348,,,Marseille
8692,Item 8 anulos auri,4,ring,anulus,,1348,,,Marseille
8694,Item 3 zonas argenti,4,belt,zona,,1348,,,Marseille
8696,Item unum mantellum de stacato cum sendato,7,cloak,mantellum,,1348,,,Marseille
8731,Item unam bursam cirici,4,purse,bursa,,1348,Dining hall,in aula ipsius domus ,Marseille
8732,Item unam bursam et zonam cirici,6,purse,bursa,,1348,Dining hall,in aula ipsius domus ,Marseille
8733,Item unum bursam –un– cum uno capitergio et anulo lictonii,10,purse,bursa,,1348,Dining hall,in aula ipsius domus ,Marseille
8741,Item unum mantellum de scarllata cum cendato croceo et tassellis argenti,11,cloak,mantellum,,1348,bedroom,In prima camera aule,Marseille
8742,Item unum mantellum viridi cum cendato rubeo,7,cloak,mantellum,,1348,bedroom,In prima camera aule,Marseille
8743,Item unum supertunicale rubeum cum –xx– cendato –R– croceo,9,supertunica,supertunica,,1348,bedroom,In prima camera aule,Marseille
8744,Item unam tunicam rubeam,4,tunic,tunica,,1348,bedroom,In prima camera aule,Marseille
8746,Item supertunicale rubeum pueri,4,supertunica,supertunica,male,1348,bedroom,In prima camera aule,Marseille
8747,Item unum capucium lividi,4,hood,capucium,,1348,bedroom,In prima camera aule,Marseille
8752,Item unum capucium faysatum cirici et rubei telarum,8,hood,capucium,,1348,bedroom,In prima camera aule,Marseille
8755,Item unam tunicam viridi clari,5,tunic,tunica,,1348,bedroom,In prima camera aule,Marseille
8756,Item unum supertunicale lividi clari vetus et cum pellissono,9,supertunica,supertunica,,1348,bedroom,In prima camera aule,Marseille
8777,Item unam tunicam et capucium rubei pueri,7,tunic,tunica,,1348,bedroom,In prima camera aule,Marseille
