id,date_of_plunder,town,lat,lon,object,category
"1226","04 April, 1334","Bozzano","43.865157","10.360812","salted meat","foodstuffs"
"1227","04 April, 1334","Bozzano","43.865157","10.360812","sheet","linens"
"1598","18 July, 1334","Bozzano","43.865157","10.360812","cattle","animal"
"1599","18 July, 1334","Bozzano","43.865157","10.360812","calf","animal"
"1671","26 July, 1334","Bozzano","43.865157","10.360812","grain","foodstuffs"
"1672","03 August, 1334","Bozzano","43.865157","10.360812","grain","foodstuffs"
"1786","14 December, 1334","Bozzano","43.865157","10.360812","flax","materials"
"1787","14 December, 1334","Bozzano","43.865157","10.360812","olives","foodstuffs"
"2380","30 January, 1335","Bozzano","43.865157","10.360812","bench","furniture"
"2381","30 January, 1335","Bozzano","43.865157","10.360812","plank","materials"
"2382","30 January, 1335","Bozzano","43.865157","10.360812","chain","materials"
"2383","30 January, 1335","Bozzano","43.865157","10.360812","crossbow","weapons"
"2384","30 January, 1335","Bozzano","43.865157","10.360812","plank","materials"
"2385","30 January, 1335","Bozzano","43.865157","10.360812","sorghum","foodstuffs"
"2386","30 January, 1335","Bozzano","43.865157","10.360812","sheet","linens"
"2387","30 January, 1335","Bozzano","43.865157","10.360812","fava beans","foodstuffs"
"2389","30 January, 1335","Bozzano","43.865157","10.360812","coin","money"
"2391","30 January, 1335","Bozzano","43.865157","10.360812","pelisse","clothing"
"2392","30 January, 1335","Bozzano","43.865157","10.360812","olives","foodstuffs"
"2394","30 January, 1335","Bozzano","43.865157","10.360812","flax","materials"
"2395","30 January, 1335","Bozzano","43.865157","10.360812","ladle","tools and implements"
"2396","30 January, 1335","Bozzano","43.865157","10.360812","olive oil","foodstuffs"
"2397","30 January, 1335","Bozzano","43.865157","10.360812","grain","foodstuffs"
"2398","30 January, 1335","Bozzano","43.865157","10.360812","panic","foodstuffs"
"2399","30 January, 1335","Bozzano","43.865157","10.360812","millet","foodstuffs"
"2400","30 January, 1335","Bozzano","43.865157","10.360812","wine","foodstuffs"
"2403","30 January, 1335","Bozzano","43.865157","10.360812","ladle","tools and implements"
"2561","26 February, 1335","Bozzano","43.865157","10.360812","manure","materials"
"3672","20 September, 1335","Bozzano","43.865157","10.360812","grain","foodstuffs"
"3675","20 September, 1335","Bozzano","43.865157","10.360812","millet","foodstuffs"
"4821","14 July, 1338","Bozzano","43.865157","10.360812","grain","foodstuffs"
"5697","08 November, 1338","Bozzano","43.865157","10.360812","tunic","clothing"
"7034","29 November, 1342","Bozzano","43.865157","10.360812","wine","foodstuffs"
"7053","27 November, 1342","Bozzano","43.865157","10.360812","wine","foodstuffs"
