location,latitude,longitude
"Pruno","44.009686","10.310812"
"Putignano Pisano","43.69783","10.42467"
"Putignano","43.67747","10.69929"
"Quarto","43.91428","10.51921"
"Querce al Pino","43.01683","11.90946"
"Querceta","43.97854","10.20081"
"Querceto di Elsa","43.32633","11.08543"
"Querceto di Monte Catini","43.29621","10.72928"
"Querceto di S. Casciano","43.59021","11.22096"
"Querceto di Sesto","43.84628","11.20508"
"Querciola di Calenzano","43.93344","11.21531"
"La Querciola","43.71282","11.17651"
"Rasiniano","43.88254","10.43887"
"Rassinata","43.38637","12.06038"
"Rezzano di Calci","43.72019","10.52524"
"Ricetro","43.90629","10.345"
"Ripa di Compito","43.79148","10.56079"
"Ripafratta","43.81229","10.413072"
"Ripoli di Carraja","43.92698","11.18073"
"Rivo Cavo","43.84503","10.57883"
"S. Rocco in Turrite","43.98118","10.3977"
"Rota","43.68106","11.47437"
"Rotta a Quarto","43.83372","10.56053"
"Ruota","43.763856","10.571249"
"Sala di Calcinaia","43.69141","10.62249"
"S. Margherita a Saletta","43.83275","11.32682"
"Castelvecchio","44.18303","10.30631"
"Saltocchio","43.899723","10.539122"
"Villa del Vescovo","43.890293","10.583746"
"S. Miniato","43.68138","10.85291"
"S. Vito","43.85414","10.5395"
"Seggio di Barga","44.05706","10.50334"
"Seturiano","43.8411","10.45451"
"Sommocolonia","44.09378","10.49225"
"Sorbano del Giudice","43.824318","10.510399"
"Sorbano del Vescovo","43.829752","10.516901"
"Spardaco","43.84717","10.45501"
"Stabbia","43.59035","11.27228"
"Stabbia","43.79004","10.83144"
"Stazzema","43.992254","10.310592"
"Stiava","43.897613","10.321509"
"Segromigno Monte","43.894275","10.595878"
"Ponte di Gello","43.96273","10.89908"
"Tempagnano di Diecimo","43.941033","10.461588"
"Tempagnano","43.850183","10.54391"
"Tiglio di Sopra; Tiglio di Sotto","44.07163","10.51241"
"Tofori","43.898434","10.624865"
"Torcigliano di Camaiore","43.924182","10.364601"
"Torcigliano di Monsagrati","43.927422","10.436796"
"Toringo","43.828287","10.536299"
"Torre","43.910227","10.469459"
"Torre di sotto","43.920311","10.435277"
"Torri","43.90284","11.16416"
"Tramonte","43.92775","10.55075"
"Vaccoli","43.79965","10.471209"
"Valgiano","43.911277","10.591116"
"Vallerano di Murlo; Cave di Marmi","43.13334","11.32447"
"Valpromaro","43.901277","10.378833"
"Varna","43.56816","10.97861"
"Veghiatoia","43.95612","10.26229"
"Verciano","43.41518","12.1969"
"La Vergine","43.92727","10.91865"
"Verciano","43.819172","10.52176"
"Vetriano","43.982062","10.468963"
"Vico Gundualdo","43.83297","10.54834"
"Vico Pelago","43.821948","10.481064"
"Vignale Vecchio","43.52898","10.8766"
"Vignale","43.87916","10.459122"
"Vignale Vecchio; Poggio Castello","42.97258","10.69532"
"Vignale","43.57201","11.19364"
"Vignale di S. Croce","43.71001","10.77878"
"Vignoli; Torrente Corsalone","43.68181","11.84665"
"Vignale di Cavriglia","43.52791","11.48925"
"Vignale di Legnaja","43.76913","11.20541"
"Vignano delle Masse S. Martino","43.33111","11.36091"
"Vigne di Barga","44.08794","10.4848"
"Vigneta","44.21294","10.18461"
"Vignola","44.39032","9.8567"
"Case Vignola","43.77048","12.07812"
"Vignola","43.69224","10.50965"
"Vignole di Tizzana","43.85925","10.9969"
"Villanova di Mugello","43.99379","11.27081"
"Vitigliano","43.80337","10.47031"
"Vorno","43.787875","10.510526"
"Paganico","43.834608","10.58872"
"Case Partignana","43.6772","10.69952"
"S. Pancrazio","43.53018","11.45432"
"S. Pancrazio","43.40802","11.65476"
"Cireglio","43.99627","10.85457"
"S. Pancrazio","43.62889","11.14111"
"S. Pancrazio","43.903527","10.553614"
"Parezzana","43.82415","10.542712"
"Pariana","44.0486","10.1634"
"Pariana","43.946015","10.63299"
"Partigliano","43.951164","10.464814"
"Pascoso","43.98527","10.38607"
"Castello Passerino","43.822135","10.438192"
"Colle di Pastino","43.95446","10.45409"
"Pedona e Sexpedona","44.04336","10.49599"
"Pedona di Camaiore","43.923318","10.297864"
"Monte Preti","43.94801","10.24955"
"Petroio","43.73671","10.92327"
"Petrojo","43.6986","10.94363"
"Petroio","43.4075","11.32063"
"Petroio","43.14283","11.68957"
"Petrojo","43.59295","11.19021"
"Petroio di Acone","43.85457","11.44945"
"S. Giovanni in Petroio","43.96769","11.27251"
"Casa Petroio","43.87389","11.58956"
"Petroio di Segromigno","43.906534","10.592897"
"S. Margherita a Mangona","44.05075","11.19678"
"S. Stefano di Moriano","43.904271","10.525154"
"Pieve di Brancoli","43.935922","10.528482"
"Gignano","43.937311","10.531184"
"S. Ilario a Brancoli","43.935501","10.537494"
"S. Lorenzo di Brancoli","43.933504","10.527857"
"Pieve fuori di Camaiore","43.93256","10.32903"
"S. Andrea di Compito","43.782115","10.563487"
"S. Giusto di Compito","43.796468","10.549669"
"Piano di Coreglia","44.038774","10.496253"
